인허가관할기관,업소명,업종,업소주소
인천광역시 서구,가촌칡냉면,일반음식점,인천광역시 서구 원적로 79(가좌동)
인천광역시 부평구,가츠벤식당,일반음식점,"인천광역시 부평구 광장로 16(부평동, 부평민자역사 본건물 나호 지하1층 제92호)"
인천광역시 서구,가평골,일반음식점,"인천광역시 서구 고산후로95번길 10(당하동, 뉴시티프라자 107)"
인천광역시 서구,가평막걸리,일반음식점,인천광역시 서구 염곡로 337(신현동)
인천광역시 남동구,가평순두부,일반음식점,인천광역시 남동구 용천로153번길 24(1층 간석동)
인천광역시 계양구,가평칼국수,일반음식점,인천광역시 계양구 작전시장로 23(1층 작전동)
인천광역시 연수구,가평팥칼국수,일반음식점,"인천광역시 연수구 능허대로103번길 28(옥련동,지상1층 2호)"
인천광역시 남동구,가향,일반음식점,인천광역시 남동구 백범로169번길 20(만수동)
인천광역시 서구,가현산 장수촌,일반음식점,인천광역시 서구 가현산로23번길 11(1층 마전동)
인천광역시 서구,가현산가든,일반음식점,인천광역시 서구 신동길 45(금곡동)
인천광역시 서구,가현산잔치국수,일반음식점,인천광역시 서구 대곡로368번길 25(1층 대곡동)
인천광역시 서구,가현산포차,일반음식점,인천광역시 서구 검단로487번길 17(B01호 마전동)
인천광역시 계양구,가현장어마을,일반음식점,"인천광역시 계양구 봉오대로 671(상가동 2층 A201호 작전동, 우남푸르미아)"
인천광역시 미추홀구,가회동 칼국수,일반음식점,인천광역시 미추홀구 매소홀로427번길 5(학익동)
인천광역시 연수구,가회동샤브칼국수(송도컨벤시아점),일반음식점,"인천광역시 연수구 센트럴로 123(송도컨벤시아 1층 M23,24호 송도동)"
인천광역시 남동구,가희,일반음식점,인천광역시 남동구 용천로152번길 8(1층 간석동)
인천광역시 중구,간다간다뿅간다,일반음식점,인천광역시 중구 을왕로 12(을왕동)
인천광역시 중구,간다간다뿅간다,일반음식점,"인천광역시 중구 월미문화로 95(북성동1가, 문타운103호)"
인천광역시 남동구,간다르바,일반음식점,인천광역시 남동구 문화서로4번길 61-39(1층 구월동)
인천광역시 미추홀구,간단 양꼬치,일반음식점,"인천광역시 미추홀구 낙섬중로 129(상가2동 105호 용현동, 엘에이치미추홀3단지)"
인천광역시 연수구,간바레 야키토리,일반음식점,"인천광역시 연수구 컨벤시아대로 116(108호 송도동, 푸르지오월드마크)"
인천광역시 중구,간빠이 운서점,일반음식점,인천광역시 중구 신도시남로150번길 2(영종상가 201호 운서동)
인천광역시 남동구,간석. 돈 곱창,일반음식점,인천광역시 남동구 남동대로 924(1층 10호 간석동)
인천광역시 남동구,간석골 흑염소,일반음식점,인천광역시 남동구 남동대로 931(1층 일부호 간석동)
인천광역시 남동구,간석동 포차,일반음식점,인천광역시 남동구 백범로 333(1층 일부103호호 간석동)
인천광역시 서구,간석멸치국수,일반음식점,인천광역시 서구 이음3로 149(위너스 프라자 205호 당하동)
인천광역시 남동구,간석시장 은혜국수,일반음식점,인천광역시 남동구 백범로 312-1(간석자유시장 1층 일부호 간석동)
인천광역시 남동구,간석식당,일반음식점,인천광역시 남동구 방축로 414(간석자동차매매단지 1층 일부호 간석동)
인천광역시 남동구,간석오거리골목집,일반음식점,"인천광역시 남동구 경인로653번길 15(1층 102호 간석동, 롯데탑스빌)"
인천광역시 남동구,간석장례문화원,일반음식점,인천광역시 남동구 경인로 591(5층 일부호 간석동)
인천광역시 남동구,간석회관,일반음식점,인천광역시 남동구 경인로644번길 114(1층 간석동)
인천광역시 중구,간성순대국전문점,일반음식점,인천광역시 중구 햇내로안길 22-5(101호 운서동)
인천광역시 부평구,간술 부평점,일반음식점,인천광역시 부평구 경원대로1403번길 25(1 1층 일부호 부평동)
인천광역시 중구,간식나라,일반음식점,인천광역시 중구 운서1로4번길 26(1층 105호 운서동)
인천광역시 연수구,간식대장(글로벌캠퍼스점),일반음식점,"인천광역시 연수구 송도문화로28번길 28(204동 1층 4-115호 송도동, 송도글로벌캠퍼스푸르지오)"
인천광역시 부평구,간식버스,일반음식점,인천광역시 부평구 영성서로 5-1(1층 일부호 삼산동)
인천광역시 남동구,간월도식당,일반음식점,"인천광역시 남동구 소래역로 12(1층 422, 423호 논현동, 소래어시장)"
인천광역시 남동구,간이역,일반음식점,인천광역시 남동구 호구포로800번길 8(1층 106호 구월동)
인천광역시 미추홀구,간이역,일반음식점,인천광역시 미추홀구 소성로 285(문학동)
인천광역시 계양구,간이역 포차,일반음식점,인천광역시 계양구 안남로 471(효성동)
인천광역시 부평구,간장게장2900원,일반음식점,인천광역시 부평구 배곶로 43(1층 일부 십정동)
인천광역시 부평구,간장게장명가,일반음식점,인천광역시 부평구 경원대로1377번길 9-1(부평동)
인천광역시 서구,간지네 퓨전포차,일반음식점,"인천광역시 서구 원당대로835번길 10(104호 원당동, 명문주택)"
인천광역시 서구,간판없는고기집,일반음식점,"인천광역시 서구 검단로459번길 3-2(왕길동, 파크프라자 106,107,108호)"
인천광역시 서구,간판있는집,일반음식점,인천광역시 서구 가현로 92(103호 마전동)
인천광역시 옹진군,갈가마식당,일반음식점,인천광역시 옹진군 연평면 연평로 712-14
인천광역시 연수구,갈로파 커피로스터스 Galopa Coffee Roasters,일반음식점,인천광역시 연수구 아트센터대로 107(커낼워크D3 AUTUMN 302동 154호 송도동)
인천광역시 연수구,갈리나(gallina),일반음식점,"인천광역시 연수구 랜드마크로 110(근린생활시설1동 1층 103호 송도동, 송도 오션파크 베르디움)"
인천광역시 옹진군,갈릴리 식당,일반음식점,인천광역시 옹진군 자월면 소이작로42번길 21(1층)
인천광역시 연수구,갈매기 막회집,일반음식점,"인천광역시 연수구 하모니로 158(송도타임스페이스 D-121,D-122호 송도동)"
인천광역시 미추홀구,갈바람,일반음식점,인천광역시 미추홀구 주안동로 10(주안동)
인천광역시 부평구,갈비가,일반음식점,"인천광역시 부평구 부평대로 301(청천동,남광센트렉스 111호)"
인천광역시 계양구,갈비구락부,일반음식점,"인천광역시 계양구 도두리로 25(계산동,101,102호)"
인천광역시 서구,갈비메이트,일반음식점,인천광역시 서구 염곡로498번안길 5-7(1층 가정동)
인천광역시 서구,갈비명가,일반음식점,인천광역시 서구 북항로32번안길 9-10(2층 원창동)
인천광역시 남동구,갈비명가,일반음식점,인천광역시 남동구 문화서로18번길 11(1층 구월동)
인천광역시 미추홀구,갈비산,일반음식점,인천광역시 미추홀구 독배로 498(숭의동)
인천광역시 남동구,갈비씨,일반음식점,인천광역시 남동구 서창남순환로216번길 30(대홍프라자 1층 104호 서창동)
인천광역시 연수구,갈비에 빠지다,일반음식점,"인천광역시 연수구 컨벤시아대로 126(푸르지오월드마크 102,103호 송도동, 푸르지오월드마크)"
인천광역시 서구,갈비예찬,일반음식점,인천광역시 서구 청마로 177(1층 일부호 당하동)
인천광역시 부평구,갈비예찬 일품추어탕삼계탕,일반음식점,인천광역시 부평구 백범로 516(1층 십정동)
인천광역시 연수구,갈비집9941,일반음식점,인천광역시 연수구 청능대로53번길 14(지상1층 청학동)
인천광역시 부평구,갈비찜은 못참지,일반음식점,인천광역시 부평구 경원대로 1428(노블렌스오피스텔 1층 107호 부평동)
인천광역시 남동구,갈비찜은 못참지 구월점,일반음식점,인천광역시 남동구 문화서로4번길 10(1층 일부호 구월동)
인천광역시 서구,갈비찜은 못참지 청라점,일반음식점,인천광역시 서구 청라라임로122번길 19-4(1층 일부호 청라동)
인천광역시 미추홀구,갈비찜클라쓰 인천도화점,일반음식점,인천광역시 미추홀구 숙골로87번길 16(디프라자1 1층 107호 도화동)
인천광역시 미추홀구,갈비창고1981,일반음식점,인천광역시 미추홀구 석바위로 55(주안동)
인천광역시 계양구,갈비창고1981,일반음식점,"인천광역시 계양구 장제로875번길 7(임학동, 금광포란채@ 101호, 102호, 112호)"
인천광역시 부평구,갈비창고1981(동암점),일반음식점,인천광역시 부평구 열우물로 55(십정동)
인천광역시 남동구,갈비창고1981(만수향촌점),일반음식점,인천광역시 남동구 만수서로 56(201호 만수동)
인천광역시 부평구,갈비천하,일반음식점,인천광역시 부평구 경원대로1270번길 5(부평동)
인천광역시 미추홀구,갈비촌,일반음식점,인천광역시 미추홀구 한나루로 403(학익동)
인천광역시 부평구,갈비탕&육쌈냉면담다,일반음식점,인천광역시 부평구 주부토로 20(부평동)
인천광역시 연수구,갈비탕에 진심,일반음식점,"인천광역시 연수구 해돋이로 160-7(1동 102호 송도동, 송도 대경 스위트리아 파크뷰)"
인천광역시 부평구,갈산 대물참치 본참치,일반음식점,"인천광역시 부평구 부평대로 283(청천동,외1필지 부평우림라이온스밸리 A-108호, A-108B호)"
인천광역시 부평구,갈산 어장,일반음식점,"인천광역시 부평구 주부토로 236(인천테크노밸리 U1센터 A동 171, 172호 갈산동)"
인천광역시 부평구,갈산갈비,일반음식점,"인천광역시 부평구 주부토로249번길 68(갈산동,외3필지 德＆美 빌딩 1층101호)"
인천광역시 부평구,갈산냉면가 돈가스,일반음식점,"인천광역시 부평구 주부토로 308(갈산동,1층)"
인천광역시 부평구,갈산닭볶음탕,일반음식점,인천광역시 부평구 평천로 323-1(105동 101호 갈산동)
인천광역시 부평구,갈산사우나(식당),일반음식점,인천광역시 부평구 주부토로 231(갈산홈프라자 지1층 B101호 일부호 갈산동)
인천광역시 부평구,갈산우동,일반음식점,인천광역시 부평구 평천로 286(1층 일부 갈산동)
인천광역시 강화군,갈치왕코다리,일반음식점,인천광역시 강화군 길상면 전등사로 85(2층)
인천광역시 연수구,갈풍집,일반음식점,"인천광역시 연수구 해돋이로 160-19(1층 112, 113호 송도동)"
인천광역시 계양구,감골오리계양점,일반음식점,"인천광역시 계양구 오조산로89번길 12(용종동,대건프라자204,205호)"
인천광역시 강화군,감나무골,일반음식점,인천광역시 강화군 삼산면 삼산남로 844-9(감나무골)
인천광역시 남동구,감나무집,일반음식점,인천광역시 남동구 만의골로195번길 88(1층 장수동)
인천광역시 서구,감나무집,일반음식점,"인천광역시 서구 대곡로368번길 36(대곡동, 1층)"
인천광역시 남동구,감나무집농원,일반음식점,인천광역시 남동구 수현로 34(장수동)
인천광역시 계양구,감나무집추어탕,일반음식점,인천광역시 계양구 장제로1171번길 7(귤현동)
인천광역시 연수구,감동곱창,일반음식점,"인천광역시 연수구 용담로85번길 9(석광프라자 101, 102호 청학동)"
인천광역시 계양구,감동국밥,일반음식점,"인천광역시 계양구 경명대로 1074(1층 104호 계산동, 삼환1빌딩)"
인천광역시 강화군,감동국수,일반음식점,인천광역시 강화군 강화읍 중앙로 27(1층)
인천광역시 서구,감동까스,일반음식점,인천광역시 서구 완정로178번길 37(101호 마전동)
인천광역시 계양구,감동까스 인천작전점,일반음식점,인천광역시 계양구 작전시장로 17(1층 일부103호 작전동)
인천광역시 서구,감동먹태,일반음식점,인천광역시 서구 중봉대로586번길 15(청연프라자 111호 청라동)
인천광역시 미추홀구,감동먹태,일반음식점,인천광역시 미추홀구 용정공원로83번길 49(인하대역 헤리움 메트로 타워 104호 용현동)
인천광역시 서구,감동순대,일반음식점,"인천광역시 서구 청라한내로72번길 7-15(104,105,106호 청라동)"
인천광역시 서구,감동얼큰오징어찌개,일반음식점,인천광역시 서구 염곡로 472(대건프라자 110ㆍ111호 가정동)
인천광역시 부평구,감동정육식당,일반음식점,"인천광역시 부평구 길주남로 118(부개동,1층)"
인천광역시 부평구,감동정육식당 삼산점,일반음식점,인천광역시 부평구 장제로340번길 5(덕성빌딩 1층 일부호 삼산동)
인천광역시 계양구,감동치킨,일반음식점,"인천광역시 계양구 양지로 32(동양동, 1층 일부)"
인천광역시 서구,감동통닭,일반음식점,인천광역시 서구 가현로117번길 46(1층 101호 마전동)
인천광역시 미추홀구,감미손칼국수,일반음식점,인천광역시 미추홀구 석정로 460(주안동)
인천광역시 미추홀구,감미식당,일반음식점,인천광역시 미추홀구 장고개로 38(도화동)
인천광역시 계양구,감미옥계양점,일반음식점,인천광역시 계양구 장제로730번길 8(1층 작전동)
인천광역시 중구,감사한계절,일반음식점,인천광역시 중구 전소로 14(1층 운남동)
인천광역시 강화군,감성,일반음식점,인천광역시 강화군 길상면 초지로 562-26(1층)
인천광역시 남동구,감성 감자탕,일반음식점,"인천광역시 남동구 서창남로 16-42(2층 201,202호 서창동)"
인천광역시 남동구,감성감자탕,일반음식점,인천광역시 남동구 서창남로 41(광명프라자 2층 203호 서창동)
인천광역시 남동구,감성낙곱새 남동구점,일반음식점,인천광역시 남동구 하촌로59번길 42-10(1층 일부호 만수동)
인천광역시 미추홀구,감성낙곱새 미추홀점,일반음식점,인천광역시 미추홀구 경원대로716번길 52(1층 우측호 관교동)
인천광역시 부평구,감성낙곱새 부평부천점,일반음식점,인천광역시 부평구 길주남로102번길 5(1층 일부 부평동)
인천광역시 남동구,감성대패,일반음식점,"인천광역시 남동구 선수촌공원로17번길 2(2층 203호 구월동, 더에이치빌딩)"
인천광역시 서구,감성도시락 인천단체,일반음식점,인천광역시 서구 탁옥로 20(성우빌딩 1층 일부 심곡동)
인천광역시 서구,감성술집,일반음식점,"인천광역시 서구 청라커낼로223번길 6(경서동, 103호)"
인천광역시 서구,감성옛날통닭,일반음식점,"인천광역시 서구 승학로 528(103호 검암동, 아카데미프라자)"
인천광역시 중구,감성조개,일반음식점,인천광역시 중구 은하수로 12(구읍뱃터관광어시장 1층 117호 중산동)
인천광역시 연수구,감성쪽갈비 연수점,일반음식점,"인천광역시 연수구 샘말로43번길 12(연수동,지상1층맛고을길 24)"
인천광역시 미추홀구,감성커피,일반음식점,인천광역시 미추홀구 매소홀로 425(학익동)
인천광역시 연수구,감성커피 연수포레나점,일반음식점,"인천광역시 연수구 넘말로 81(근린생활시설동 지하3층 근린생활시설1,2,3호 선학동, 한화포레나인천연수)"
인천광역시 미추홀구,감성커피 인천용현점,일반음식점,인천광역시 미추홀구 낙섬중로 80(1층 1호 용현동)
인천광역시 남동구,감성포차,일반음식점,인천광역시 남동구 석산로9번길 17(지하1층 간석동)
인천광역시 남동구,감성포차,일반음식점,인천광역시 남동구 하촌로 53(1층 일부호 만수동)
인천광역시 계양구,감성포차,일반음식점,"인천광역시 계양구 장제로 718(작전동,상록메디칼센타113호)"
인천광역시 미추홀구,감성화로,일반음식점,인천광역시 미추홀구 석바위로 59(주안동)
인천광역시 미추홀구,감성화로,일반음식점,인천광역시 미추홀구 주안로 151(우진빌딩 1층 좌측호 주안동)
인천광역시 부평구,감자골,일반음식점,"인천광역시 부평구 여우재로26번길 39(십정동,65)"
인천광역시 중구,감자골감자탕,일반음식점,"인천광역시 중구 신도시남로141번길 9(201호 운서동, 골드프라자)"
인천광역시 중구,감자골감자탕 하늘도시점,일반음식점,"인천광역시 중구 하늘달빛로 84(2층 202,203호 중산동)"
인천광역시 연수구,감자상회,일반음식점,인천광역시 연수구 학나래로5번길 44(1층 일부호 선학동)
인천광역시 연수구,감자옹심이,일반음식점,인천광역시 연수구 샘말로38번길 3(1층 일부호 연수동)
인천광역시 서구,감자옹심이 메밀칼국수,일반음식점,인천광역시 서구 청마로7번길 21(101호 당하동)
인천광역시 서구,감자탕 형제들,일반음식점,"인천광역시 서구 길주로 87(석남동, A동 4,5호)"
인천광역시 서구,감자탕마을,일반음식점,"인천광역시 서구 대평로 5(파인빌 107동 B101호,B102호 심곡동)"
인천광역시 중구,감자탕본심,일반음식점,인천광역시 중구 큰우물로 3(경동)
인천광역시 연수구,감자탕을 만드는 형제들,일반음식점,"인천광역시 연수구 학나래로6번길 38(선학동,지상1층)"
인천광역시 미추홀구,감자탕을 만드는 형제들,일반음식점,인천광역시 미추홀구 주염로 9(주안동)
인천광역시 남동구,감자탕형제들,일반음식점,"인천광역시 남동구 선수촌공원로55번길 11-18(1층 구월동, 제이엔에스점더블유)"
인천광역시 남동구,감자탕형제들,일반음식점,"인천광역시 남동구 문화서로4번길 65(구월동, 1층)"
인천광역시 서구,감탄 가정석남점,일반음식점,인천광역시 서구 가정로 382(가정동)
인천광역시 미추홀구,감탄 간석역점,일반음식점,"인천광역시 미추홀구 경원대로 882(주안동,더월드스테이트상가 107호)"
인천광역시 연수구,감탄 떡볶이 롯데마트송도점,일반음식점,"인천광역시 연수구 컨벤시아대로 177(지상2층 송도동, 롯데마트송도점)"
인천광역시 중구,감탄계 영종하늘도시점,일반음식점,인천광역시 중구 하늘별빛로65번길 17(2층 202호 중산동)
인천광역시 남동구,감탄떡볶이(간석래미안점),일반음식점,"인천광역시 남동구 석산로 156(간석동, 간석래미안자이아파트 상가1동 102호일부)"
인천광역시 남동구,감탄떡볶이(간석점),일반음식점,인천광역시 남동구 경원대로 971(홈플러스 1층 일부호 간석동)
인천광역시 남동구,감탄만수시장점,일반음식점,"인천광역시 남동구 만수로 51(만수동,성현로 101 1층일부)"
인천광역시 연수구,감탄회수산,일반음식점,"인천광역시 연수구 독배로 29(옥련동, 지상1층)"
인천광역시 강화군,갑룡분식,일반음식점,인천광역시 강화군 강화읍 강화대로216번길 51-16(1층)
인천광역시 강화군,갑룡식당,일반음식점,인천광역시 강화군 강화읍 강화대로216번길 51-16(1층)
인천광역시 남동구,갑부도시락,일반음식점,인천광역시 남동구 논곡로91번길 19(1층 전부호 논현동)
인천광역시 미추홀구,갑부통닭,일반음식점,"인천광역시 미추홀구 용정공원로 33(근린생활시설 A-3동 110호 용현동, 인천 SK Sky VIEW)"
인천광역시 계양구,갑숙이네,일반음식점,인천광역시 계양구 주부토로 474(계산동)
인천광역시 미추홀구,갑진이네 한우곱창 인천주안점,일반음식점,인천광역시 미추홀구 인하로 236(1층 우측호 주안동)
인천광역시 남동구,갓갈비 만수점,일반음식점,인천광역시 남동구 하촌로71번길 5(1층 만수동)
인천광역시 서구,갓갈비 인천루원시티점,일반음식점,"인천광역시 서구 가정로 437(303동 125호 가정동, 루원시티 SK Leaders' VIEW)"
인천광역시 부평구,갓댐버거(Got Them Burger),일반음식점,인천광역시 부평구 주부토로146번길 14(1층 일부호 갈산동)
인천광역시 연수구,갓맥[인더케그(INTHEKEG)],일반음식점,인천광역시 연수구 아트센터대로168번길 100(한라 웨스턴파크 송도 지상1층 175호 송도동)
인천광역시 남동구,갓빠참치,일반음식점,"인천광역시 남동구 구월남로 174(101호 구월동, 그랜드프라자)"
인천광역시 연수구,갓잇 송도점 (GOD EAT),일반음식점,"인천광역시 연수구 컨벤시아대로 100(602동 146,147호 송도동, 현대힐스테이트)"
인천광역시 중구,갓잇 영종도점(GOD EAT),일반음식점,인천광역시 중구 햇내로안길 18-2(1층 운서동)
인천광역시 서구,갓잇 청라점,일반음식점,"인천광역시 서구 중봉대로586번길 22(A동 161호, 162호호 청라동, 청라 엑슬루타워)"
인천광역시 부평구,갓통닭,일반음식점,인천광역시 부평구 동수로 7(로뎀레뷰 109호 부평동)
인천광역시 서구,갓포이츠모,일반음식점,"인천광역시 서구 중봉대로586번길 22(B동 103호 청라동, 청라 엑슬루타워)"
인천광역시 남동구,갓포한,일반음식점,인천광역시 남동구 예술로204번길 19(구월프라움아트 1층 107호 구월동)
인천광역시 서구,강's통닭,일반음식점,인천광역시 서구 열우물로240번길 29(1층 일부호 가좌동)
인천광역시 연수구,강(江),일반음식점,인천광역시 연수구 앵고개로101번길 12-13(지상1층 동춘동)
인천광역시 서구,강가네,일반음식점,"인천광역시 서구 석남로 97-2(석남동, 577-831층)"
인천광역시 서구,강가네볼테기,일반음식점,인천광역시 서구 염곡로 285(석남동)
인천광역시 미추홀구,강강술래 롯데인천점,일반음식점,"인천광역시 미추홀구 연남로 35(인천종합터미널,롯데백화점 지하1층 관교동)"
인천광역시 강화군,강경불고기 강화점,일반음식점,인천광역시 강화군 강화읍 고비고개로 157(1층)
인천광역시 중구,강경불고기 영종도점,일반음식점,인천광역시 중구 운남로82번길 28(가동 1층 운남동)
인천광역시 부평구,강고집,일반음식점,"인천광역시 부평구 부흥로 329(부평동,부평로얄프라자 105호, 106호 1층)"
인천광역시 남동구,강고집바지락칼국수,일반음식점,인천광역시 남동구 석촌로 17(간석동)
인천광역시 연수구,강구앞바다식당,일반음식점,인천광역시 연수구 독배로90번길 77(정호주택 1층 일부2호 옥련동)
인천광역시 강화군,강나루푸드,일반음식점,인천광역시 강화군 길상면 해안남로 92-6
인천광역시 중구,강남 칼동태전골,일반음식점,인천광역시 중구 하늘중앙로225번길 20(스카이에비뉴2 2층 201호 중산동)
인천광역시 서구,강남다방,일반음식점,인천광역시 서구 가정로 294(지하1층 석남동)
인천광역시 서구,강남반점,일반음식점,인천광역시 서구 가정로293번길 12-1(2층 전체호 석남동)
인천광역시 계양구,강남샤브부대찌개 & 행복한매운철판,일반음식점,"인천광역시 계양구 봉오대로 557(효성동,1층)"
인천광역시 남동구,강남수제족발,일반음식점,인천광역시 남동구 인주대로 658(1층 구월동)
인천광역시 서구,강남식당,일반음식점,"인천광역시 서구 가정로307번길 10(석남동, 1층일부)"
인천광역시 서구,강남식당,일반음식점,인천광역시 서구 가정로308번길 4(석남동)
인천광역시 중구,강남식당,일반음식점,"인천광역시 중구 을왕로 28(1,2층 을왕동)"
인천광역시 부평구,강남쌀국수 롯데마트 부평점,일반음식점,인천광역시 부평구 마장로 296(롯데마트 부평점 2층 일부 산곡동)
인천광역시 남동구,강남쌀국수 홈플러스 간석점,일반음식점,"인천광역시 남동구 경원대로 971(홈플러스 1층 일부X13,YC호 간석동)"
인천광역시 서구,강남쌈밥,일반음식점,인천광역시 서구 가정로 295(2층 일부 석남동)
인천광역시 남동구,강남양꼬치,일반음식점,인천광역시 남동구 용천로115번길 4(1층 일부호 구월동)
인천광역시 강화군,강남족발,일반음식점,인천광역시 강화군 길상면 마니산로 65(4호)
인천광역시 계양구,강남초밥(본점),일반음식점,인천광역시 계양구 계양문화로 90(새롬프라자 2층 202호 용종동)
인천광역시 서구,강남커피,일반음식점,인천광역시 서구 신석로77번길 21-1(101호 석남동)
인천광역시 부평구,강남통닭,일반음식점,인천광역시 부평구 후정동로25번길 8(삼산동)
인천광역시 미추홀구,강남포차,일반음식점,인천광역시 미추홀구 수봉로 12(1층 숭의동)
인천광역시 부평구,강남활어회직판장,일반음식점,인천광역시 부평구 갈월동로 29(갈산동)
인천광역시 계양구,강너머남촌계산점,일반음식점,인천광역시 계양구 계산천동로 18(B동 1층 일부호 계산동)
인천광역시 부평구,강다짐 삼산점,일반음식점,인천광역시 부평구 체육관로 40(신영프라자 1층 101호 삼산동)
인천광역시 연수구,강다짐 송도점,일반음식점,인천광역시 연수구 신송로 153(더 마란츠타워 121호 송도동)
인천광역시 남동구,강당골,일반음식점,인천광역시 남동구 남동대로916번길 60(1층 간석동)
인천광역시 중구,강따라산따라,일반음식점,인천광역시 중구 운중로 49(운남동)
인천광역시 남동구,강력풍천장어,일반음식점,인천광역시 남동구 문화로89번길 27(1층 구월동)
인천광역시 연수구,강력풍천장어,일반음식점,인천광역시 연수구 학나래로118번길 37(경희빌딩 지상1층 선학동)
인천광역시 연수구,강릉 장칼국수,일반음식점,"인천광역시 연수구 송도문화로28번길 28(202동 2-145호, 2-146호 송도동, 송도글로벌캠퍼스푸르지오)"
인천광역시 연수구,강릉엄지네꼬막집 송도점,일반음식점,인천광역시 연수구 컨벤시아대로 69(송도 밀레니엄 2층 210호 송도동)
인천광역시 부평구,강릉장칼 인천부평점,일반음식점,인천광역시 부평구 부평대로64번길 5(1층 일부호 부평동)
인천광역시 남동구,강릉장칼국수,일반음식점,인천광역시 남동구 논고개로 61(라피에스타 2층 228호 논현동)
인천광역시 남동구,강릉초당골 짬뽕순두부,일반음식점,"인천광역시 남동구 석산로 201(2층 201호 간석동, 정도타워빌)"
인천광역시 부평구,강릉초당순두부,일반음식점,"인천광역시 부평구 동수로 65(부평동,1층)"
인천광역시 남동구,강릉초당짬뽕순두부 서창점,일반음식점,인천광역시 남동구 서창남순환로215번길 17(1층 113호 서창동)
인천광역시 계양구,강릉초당짬뽕순두부(계양점),일반음식점,"인천광역시 계양구 계산새로 71(하이베라스 B동 1층 118,119호 계산동)"
인천광역시 옹진군,강릉코다리,일반음식점,인천광역시 옹진군 영흥면 선재로 71
인천광역시 서구,강릉해변막국수,일반음식점,"인천광역시 서구 열우물로282번길 16-6(가좌동,외 8필지 가좌라일실크빌아파트 101동 제상가1호)"
인천광역시 서구,강릉해변메밀막국수,일반음식점,인천광역시 서구 청마로112번길 22(당하동)
인천광역시 서구,강릉해변메밀막국수,일반음식점,"인천광역시 서구 청라커낼로260번길 7-9(반안프라자 2차 103,104호 청라동)"
인천광역시 부평구,강릉해변메밀막국수,일반음식점,인천광역시 부평구 주부토로150번길 22(1층 갈산동)
인천광역시 연수구,강릉해변메밀막국수 송도점,일반음식점,"인천광역시 연수구 능허대로267번길 12(동춘동, 지상1층)"
인천광역시 연수구,강릉회산막국수,일반음식점,"인천광역시 연수구 동곡재로 52(동춘동, 지1층)"
인천광역시 강화군,강바우순대국,일반음식점,인천광역시 강화군 화도면 마니산로 646(1동 1층)
인천광역시 미추홀구,강부 맛나는 닭갈비,일반음식점,인천광역시 미추홀구 인주대로 395(1층 2호 주안동)
인천광역시 연수구,강뼈,일반음식점,"인천광역시 연수구 송도과학로28번길 8(더샵 송도트리플타워 East 2층 214,215호 송도동)"
인천광역시 강화군,강사내통닭,일반음식점,인천광역시 강화군 강화읍 강화대로409번길 4-2(1층)
인천광역시 옹진군,강산횟집,일반음식점,인천광역시 옹진군 백령면 두무진로 560-6(두무진 수산물 직판장 3동 1~2층 103호)
인천광역시 미추홀구,강삼집,일반음식점,인천광역시 미추홀구 동주길 124(1층 주안동)
인천광역시 강화군,강서식당,일반음식점,인천광역시 강화군 강화읍 동문안길21번길 17-3
인천광역시 강화군,강서식당,일반음식점,인천광역시 강화군 하점면 신봉리 산 25
인천광역시 서구,강선생막국수,일반음식점,인천광역시 서구 담지로86번길 5-41(102호 청라동)
인천광역시 남동구,강쇠네 뻘떡장어,일반음식점,인천광역시 남동구 장승로 45(1층 일부호 만수동)
인천광역시 미추홀구,강쇠수산,일반음식점,인천광역시 미추홀구 인주대로 183-1(1층 용현동)
인천광역시 부평구,강쇠풍천숯불장어,일반음식점,인천광역시 부평구 부평대로 166(부평동)
인천광역시 서구,강순자 옛맛김치찌개 검단아라점,일반음식점,인천광역시 서구 원당대로 1045(금호헤리티지7 113호 원당동)
인천광역시 서구,강순자옛맛김치찌개,일반음식점,"인천광역시 서구 소담2로 58(1층 101,102호 금곡동)"
인천광역시 계양구,강순자옛맛김치찌개,일반음식점,인천광역시 계양구 효서로 230(삼성프라자 1층 104호 작전동)
인천광역시 연수구,강순자옛맛김치찌개 송도스마트밸리점,일반음식점,인천광역시 연수구 송도미래로 30(송도 BRC 스마트밸리 지식산업센터 F동 2층 209호 송도동)
인천광역시 중구,강식당,일반음식점,인천광역시 중구 하늘중앙로195번길 14(이은스퀘어 1층 119호 중산동)
인천광역시 남동구,강식당,일반음식점,인천광역시 남동구 용천로 118(1층 일부호 구월동)
인천광역시 중구,강식당 명태본가,일반음식점,인천광역시 중구 용유서로 492(1층 을왕동)
인천광역시 서구,강씨네냉삼집,일반음식점,인천광역시 서구 청라루비로42번길 7(1층 일부 청라동)
인천광역시 서구,강영숙 봉평메밀촌,일반음식점,"인천광역시 서구 대평로 5(107동 B107호 심곡동, 파인빌)"
인천광역시 미추홀구,강우수산,일반음식점,인천광역시 미추홀구 토금중로 33(1층 용현동)
인천광역시 연수구,강우수산,일반음식점,"인천광역시 연수구 송도문화로84번길 84(상가2동 지상1층 102호 송도동, 베르디움 더퍼스트)"
인천광역시 연수구,강우회랜드,일반음식점,"인천광역시 연수구 랜드마크로 68(301동 지상1층 65호 송도동, 랜드마크시티센트럴더샵)"
인천광역시 미추홀구,강우회센타,일반음식점,"인천광역시 미추홀구 토금중로 33(201호 용현동, 리프라자)"
