인허가관할기관,업소명,업종,업소주소
인천광역시 연수구,(주)미래금2,일반음식점,"인천광역시 연수구 테크노파크로 193(송도센트럴파크호텔 2층 일부, 3층 공동조리장 송도동)"
인천광역시 중구,(주)바다곳간,일반음식점,"인천광역시 중구 영종진광장로 5(2층 203,204,205,206호 중산동)"
인천광역시 서구,(주)베스트푸드케터링,일반음식점,인천광역시 서구 봉수대로 299(1층 일부호 석남동)
인천광역시 강화군,(주)보광호,일반음식점,인천광역시 강화군 길상면 해안남로619번길 21(1동 1층)
인천광역시 연수구,(주)보나비 아티제 인천송도점,일반음식점,인천광역시 연수구 해돋이로 171(엘지전자 베스트샵 송도점 1층 송도동)
인천광역시 중구,(주)봄스 수라상,일반음식점,인천광역시 중구 축항대로296번길 56-37(1층 일부 신흥동3가)
인천광역시 남동구,(주)분아뜰리에(엠에이치티 인천지점),일반음식점,인천광역시 남동구 만의골로195번길 66(1층 장수동)
인천광역시 연수구,(주)사이드글로벌 인천지점,일반음식점,인천광역시 연수구 옥련로 30(지상1층 옥련동)
인천광역시 부평구,(주)산곡양평해장국,일반음식점,인천광역시 부평구 마장로 191(산곡동)
인천광역시 남동구,(주)샤브올데이,일반음식점,인천광역시 남동구 구월남로 153(W 타워 2층 구월동)
인천광역시 서구,(주)샤브웨이 루원시티 인천점,일반음식점,인천광역시 서구 염곡로464번길 11(루원탑프라자 2층 가정동)
인천광역시 부평구,(주)성민알에스오,일반음식점,인천광역시 부평구 장제로221번길 8(1층 일부 부평동)
인천광역시 서구,(주)성우글로벌 초원의보배 흑염소 3호,일반음식점,인천광역시 서구 원적로 121(건지빌딩 지하1층 일부호 가좌동)
인천광역시 연수구,(주)세교푸드시스템,일반음식점,인천광역시 연수구 갯벌로 12(갯벌타워 지하1층 송도동)
인천광역시 연수구,(주)소담푸드(SODAM FOOD),일반음식점,인천광역시 연수구 센트럴로 415(힐스테이트 송도 더테라스 판매시설동 219~224호 송도동)
인천광역시 남동구,(주)소만,일반음식점,"인천광역시 남동구 선수촌공원로 36(더블루시티 1층 120호,121호 구월동)"
인천광역시 연수구,(주)송도골프(클럽하우스식당),일반음식점,"인천광역시 연수구 능허대로 236(동춘동,옥련동 595 외7필지 지상2층)"
인천광역시 연수구,(주)스시로 한국 연수점,일반음식점,"인천광역시 연수구 청능대로 210(동춘동, 스퀘어원 3층)"
